header_text,part_start,part_length,faction,faction_characters,share_including_other,share_excluding_other,percentage_of_part_length,volume,header_text_short
"THE HISTORY OF GREAT BRITAIN.

# JAMES I. CHAP. I. Introduction.-Death and character of Queen Elizabeth.-James's first transactions.-State of Europe.-Rosni's negotiations.-Raleigh's conspiracy.-Character of the puritans.-Hampton-cour ...",5907,55731,whig,407,0.13736078299021262,0.6460317460317461,0.007302937323931026,5,JAMES I. CHAP. I. Introduction.-Death and characte […]
"THE HISTORY OF GREAT BRITAIN.

# JAMES I. CHAP. I. Introduction.-Death and character of Queen Elizabeth.-James's first transactions.-State of Europe.-Rosni's negotiations.-Raleigh's conspiracy.-Character of the puritans.-Hampton-cour ...",5907,55731,tory,223,0.07526155923050962,0.353968253968254,0.004001363693456066,5,JAMES I. CHAP. I. Introduction.-Death and characte […]
CHAP. II. Gun-powder conspiracy.-Character of the catholics.-A parliament.-Truce betwixt Spain and the united provinces.-A parliament.-Death of the French King.-Arminianism.-State of Ireland.-,61638,76211,whig,783,0.12505989458552946,0.21469701124211682,0.010274107412315808,5,CHAP. II. Gun-powder conspiracy.-Character of the  […]
CHAP. II. Gun-powder conspiracy.-Character of the catholics.-A parliament.-Truce betwixt Spain and the united provinces.-A parliament.-Death of the French King.-Arminianism.-State of Ireland.-,61638,76211,tory,2864,0.4574349145503913,0.7853029887578832,0.037579876920654495,5,CHAP. II. Gun-powder conspiracy.-Character of the  […]
CHAP. III. Death of Prince Henry.-Marriage of the Princess Elizabeth with the Palatine.-Rise of Samerset.-His marriage.-Overbury poison-ed.-Fall of Somerset.-Rise of Buckingham-Cautionary towns deli,137849,63550,whig,222,0.11240506329113924,0.4847161572052402,0.0034933123524783635,5,CHAP. III. Death of Prince Henry.-Marriage of the  […]
CHAP. III. Death of Prince Henry.-Marriage of the Princess Elizabeth with the Palatine.-Rise of Samerset.-His marriage.-Overbury poison-ed.-Fall of Somerset.-Rise of Buckingham-Cautionary towns deli,137849,63550,tory,236,0.11949367088607595,0.5152838427947598,0.0037136113296616837,5,CHAP. III. Death of Prince Henry.-Marriage of the  […]
CHAP. IV. Sir Walter Raleigh's expedition.-His execution.-Insurrections in Bohemia.-Loss of the Palatinate.-Negotiations with Spain.-A parliament.-Parties.-Fall of Bacon.-Rupture betwixt King and parl ...,201399,71660,whig,2987,0.6534675125793044,0.9812746386333772,0.041682947250907064,5,CHAP. IV. Sir Walter Raleigh's expedition.-His exe […]
CHAP. IV. Sir Walter Raleigh's expedition.-His execution.-Insurrections in Bohemia.-Loss of the Palatinate.-Negotiations with Spain.-A parliament.-Parties.-Fall of Bacon.-Rupture betwixt King and parl ...,201399,71660,tory,57,0.012469919054911398,0.018725361366622863,0.0007954228300307005,5,CHAP. IV. Sir Walter Raleigh's expedition.-His exe […]
CHAP. V. Negotiations with regard to the marriage and the Palatinate.-Character of Buckingham.-Prince's journey to Spain.-Marriage treaty broken.-A parlliament.-Return of Briston.-Rupture with Spain.- ...,273059,71864,whig,244,0.03429856620747821,0.0993485342019544,0.0033953022375598353,5,CHAP. V. Negotiations with regard to the marriage  […]
CHAP. V. Negotiations with regard to the marriage and the Palatinate.-Character of Buckingham.-Prince's journey to Spain.-Marriage treaty broken.-A parlliament.-Return of Briston.-Rupture with Spain.- ...,273059,71864,tory,2212,0.310936182175991,0.9006514657980456,0.030780362907714572,5,CHAP. V. Negotiations with regard to the marriage  […]
